k=7 : a=26, b=96, c=70, length = 384, b == a+c - True, <lcm - True
k=7 : a=40, b=96, c=56, length = 384, b == a+c - True, <lcm - True
k=7 : a=56, b=96, c=40, length = 384, b == a+c - True, <lcm - True
k=7 : a=70, b=96, c=26, length = 384, b == a+c - True, <lcm - True
k=7 : a=38, b=98, c=60, length = 392, b == a+c - True, <lcm - True
k=7 : a=48, b=98, c=50, length = 392, b == a+c - True, <lcm - True
k=7 : a=50, b=98, c=48, length = 392, b == a+c - True, <lcm - True
k=7 : a=60, b=98, c=38, length = 392, b == a+c - True, <lcm - True
k=7 : a=16, b=100, c=84, length = 400, b == a+c - True, <lcm - True
k=7 : a=28, b=100, c=72, length = 400, b == a+c - True, <lcm - True
k=7 : a=72, b=100, c=28, length = 400, b == a+c - True, <lcm - True
k=7 : a=84, b=100, c=16, length = 400, b == a+c - True, <lcm - True
k=7 : a=42, b=102, c=60, length = 408, b == a+c - True, <lcm - True
k=7 : a=60, b=102, c=42, length = 408, b == a+c - True, <lcm - True
k=7 : a=20, b=104, c=84, length = 416, b == a+c - True, <lcm - True
k=7 : a=84, b=104, c=20, length = 416, b == a+c - True, <lcm - True
k=7 : a=45, b=105, c=60, length = 420, b == a+c - True, <lcm - True
k=7 : a=60, b=105, c=45, length = 420, b == a+c - True, <lcm - True
k=7 : a=36, b=106, c=70, length = 424, b == a+c - True, <lcm - True
k=7 : a=70, b=106, c=36, length = 424, b == a+c - True, <lcm - True
k=7 : a=10, b=108, c=98, length = 432, b == a+c - True, <lcm - True
k=7 : a=28, b=108, c=80, length = 432, b == a+c - True, <lcm - True
k=7 : a=38, b=108, c=70, length = 432, b == a+c - True, <lcm - True
k=7 : a=70, b=108, c=38, length = 432, b == a+c - True, <lcm - True
k=7 : a=80, b=108, c=28, length = 432, b == a+c - True, <lcm - True
k=7 : a=98, b=108, c=10, length = 432, b == a+c - True, <lcm - True
k=7 : a=49, b=109, c=60, length = 436, b == a+c - True, <lcm - True
k=7 : a=60, b=109, c=49, length = 436, b == a+c - True, <lcm - True
k=7 : a=12, b=110, c=98, length = 440, b == a+c - True, <lcm - True
k=7 : a=14, b=110, c=96, length = 440, b == a+c - True, <lcm - True
k=7 : a=26, b=110, c=84, length = 440, b == a+c - True, <lcm - True
k=7 : a=84, b=110, c=26, length = 440, b == a+c - True, <lcm - True
k=7 : a=96, b=110, c=14, length = 440, b == a+c - True, <lcm - True
k=7 : a=98, b=110, c=12, length = 440, b == a+c - True, <lcm - True
k=7 : a=12, b=112, c=100, length = 448, b == a+c - True, <lcm - True
